Email;Address;Avatar;Avg. Session Length;Time on App;Time on Website;Length of Membership;Yearly Amount Spent
"FPO AE 32122-5711""";Snow;3.204.448.612.744.040;1.341.493.473.585.160;3.611.243.501.077.790;2.258.686.386.946.840;44.822.982.918.655;
brianwilson@yahoo.com;448 Stewart Divide;;;;;;
New Ashleyfort;" FM 84050""";BurlyWood;34.555.767.994.657.400;12.170.525.424.959.300;3.913.109.673.366.660;3.663.105.491.283.850;549.860.590.464.497
gonzaleskatie@gmail.com;70129 Darrell Spring;;;;;;
Thomasmouth;" HI 39319-2739""";Moccasin;3.456.455.770.619.160;1.314.655.143.290.700;37.335.445.894.325.700;38.768.751.769.237.600;593.915.002.968.289
lsmith@chung.com;412 Jackson River;;;;;;
Kleinburgh;" KS 52039-7404""";BlueViolet;32.726.784.597.863.900;12.988.510.147.185.200;3.646.200.325.853.960;4.113.226.122.724.200;5.636.728.733.601.080
dongarcia@hotmail.com;546 Benjamin Lights Suite 421;;;;;;
Romerofurt;" NC 43746-4501""";MediumBlue;33.117.218.732.994.700;1.186.412.635.894.250;36.582.727.765.406.200;3.202.531.199.210.730;47.973.194.908.594.500
kimberly46@garcia-nelson.biz;4066 Gonzalez Dam Apt. 277;;;;;;
West Jessica;" TN 36880""";GreenYellow;31.661.049.822.746.000;11.398.064.190.096.800;3.659.445.670.006.820;3.198.399.271.684.900;41.635.835.357.990.000
william82@gmail.com;11143 Park Squares;;;;;;
Samanthatown;" UT 97073""";SandyBrown;3.325.633.546.983.110;1.385.806.246.213.120;3.778.026.468.722.860;597.676.812.602;7.255.848.140.556.800
brenda82@maldonado-gonzalez.net;645 Elizabeth Pass;;;;;;
Williamview;" MS 51544""";MediumVioletRed;3.390.022.441.401.570;10.956.790.967.791.600;37.266.878.259.420.900;29.526.689.579.217.300;44.266.725.173.862.700
josephgould@west.info;861 Annette Stream Suite 771;;;;;;
North Miguel;" CA 33824-1610""";DarkBlue;3.418.777.482.695.720;10.320.116.255.059.100;3.745.340.510.152.350;20.948.917.061.051.700;3.846.265.715.694.050
wbrady@yahoo.com;044 Riggs Expressway;;;;;;
Lake Stevenchester;" AL 22283""";SandyBrown;3.376.206.923.913.130;998.451.439.654.646;3.593.344.930.095.980;385.547.168.456.418;4.514.574.468.676.020
smithtracey@mcgee.com;PSC 4508, Box 7961;;;;;;
"APO AA 55271-2375""";DarkOliveGreen;34.390.163.664.343.300;1.264.519.514.084.350;3.846.832.110.587.930;28.745.969.103.039.500;52.240.414.125.956;
amberchase@fowler.info;1867 Gregory Isle Suite 022;;;;;;
Port Tammy;" LA 52305-9696""";GreenYellow;3.392.529.660.119.950;11.588.655.423.353.000;3.525.224.202.243.300;33.920.504.890.738.300;4.836.733.080.190.450
gregoryholmes@hotmail.com;2891 Martin Plain Suite 197;;;;;;
Melaniestad;" NE 65650-8529""";DarkSalmon;3.268.822.929.602.440;13.761.532.847.115.600;3.925.293.095.040.620;2.995.761.182.613.050;5.208.987.944.502.360
jeffreydawson@gmail.com;9944 Trevor Expressway;;;;;;
Robinsonstad;" OR 34630-1840""";DarkSeaGreen;343.018.702.154.015;10.568.294.685.632.700;3.617.312.563.197.190;3.315.224.753.915.400;45.316.950.235.469.700
rjohns@gmail.com;264 Derek Dam Apt. 680;;;;;;
West Danielle;" SD 91517-8611""";DeepPink;32.843.930.222.655.100;11.832.286.222.863.600;3.681.401.056.250.360;34.719.191.365.417.400;496.650.708.068.581
john85@martin-morgan.com;USNV Reese;;;;;;
"FPO AA 73568-0730""";Olive;3.375.499.472.831.920;1.206.415.663.219.930;37.271.221.692.501.900;39.705.556.280.753.400;5.473.651.405.940.450;
vcoleman@yahoo.com;7761 Hughes Curve Apt. 880;;;;;;
Rodriguezberg;" MN 96206-5317""";SkyBlue;33.879.784.289.702.800;12.495.591.602.384.800;38.052.609.752.573.000;4.639.320.331.857.260;6.168.515.229.667.120
floresarthur@yahoo.com;12612 Johnson Skyway Suite 764;;;;;;
Jessicaville;" CT 14968-6590""";Magenta;3.307.653.560.709.710;9.607.314.687.519.160;3.649.399.254.673.730;5.081.210.092.491.100;50.721.256.900.067.800
ryan36@gmail.com;5379 Rhonda Prairie Apt. 696;;;;;;
Brownland;" WA 87027""";DarkTurquoise;3.222.729.913.636.720;13.728.627.177.429.800;3.799.702.800.956.550;48.026.306.305.233.700;6.135.993.233.689.060
chris67@ryan.biz;716 Bush Greens Apt. 098;;;;;;
Trevorton;" MA 17817-8000""";Silver;32.789.772.618.310.700;11.670.065.919.118.900;374.087.484.767.376;34.146.884.225.048.900;48.315.972.078.451.700
katie25@gmail.com;6861 Lopez Fork Apt. 114;;;;;;
South Jamiechester;" DE 63993""";SpringGreen;3.277.260.992.960.080;13.276.313.008.175.300;3.660.077.705.432.860;34.622.988.474.603.700;5.402.634.004.105.400
kyang@diaz.org;223 Love Trail Suite 831;;;;;;
Port Jeffrey;" IN 46849""";OliveDrab;34.374.258.045.247.400;15.126.994.288.792.400;3.715.762.409.406.520;5.377.593.583.586.970;7.655.184.619.388.370
tadams@contreras.info;049 Matthew Terrace;;;;;;
Lake Matthew;" MS 20210""";Aqua;330.787.172.146.689;12.695.789.749.023.100;35.358.444.307.206.600;4.001.786.345.798.080;5.536.015.346.844.500
craigcastro@burgess.com;65407 Warner Forges Suite 071;;;;;;
New Lori;" AZ 30132-2395""";OrangeRed;3.280.522.040.097.180;11.835.476.087.614.200;36.375.066.106.372.900;34.395.905.595.500.700;46.931.086.149.531.000
ellen24@anthony.com;PSC 3408, Box 3353;;;;;;
"APO AE 05113-1257""";LimeGreen;3.243.075.793.005.120;11.306.232.344.673.500;3.768.040.322.813.710;27.795.207.192.736.000;40.862.018.782.983.700;
davisrobert@hicks-smith.com;95967 Pitts Burgs;;;;;;
West Sarah;" MH 27817-5147""";SkyBlue;32.179.099.972.602.300;11.187.538.910.878.600;40.005.181.638.101.800;35.526.497.674.265.100;451.575.685.159.493
walkerlaura@peterson-yates.com;89154 Jones Stream Suite 311;;;;;;
East Katie;" NC 72742-1516""";LightGreen;3.315.417.578.832.180;11.887.494.133.971.600;36.265.000.697.022.000;26.022.871.120.328.700;44.496.655.165.329.200
marc54@hotmail.com;Unit 6174 Box 1949;;;;;;
"DPO AP 27478""";SandyBrown;3.433.589.583.979.250;122.289.347.111.239;361.571.911.511.149;4.694.322.274.442.820;5.958.228.366.992.030;
gregoryrussell@yahoo.com;55436 Devon Plain;;;;;;
West Kendraberg;" HI 18826-3623""";Teal;3.238.625.185.558.590;10.674.653.472.691.900;38.006.583.179.477.600;34.015.223.445.155.000;4.181.500.810.968.490
williamsjohnny@ferguson.info;51920 Kent Junctions Apt. 352;;;;;;
Walkerport;" NY 11257-6647""";LightYellow;3.280.869.759.268.500;12.817.113.090.284.200;37.031.539.216.766.200;38.515.788.003.584.600;5.347.771.880.994.130
haydenrebecca@gmail.com;10022 Wilson Orchard Suite 107;;;;;;
Harrisstad;" MH 99272""";MintCream;3.387.974.496.798.120;135.878.060.830.337;38.260.353.442.660.100;325.811.288.288.828;5.782.416.050.583.770
langmatthew@hotmail.com;606 Perez Drives;;;;;;
Maryside;" CO 94387-5877""";DimGray;3.204.983.939.045.730;12.238.057.349.986.200;3.873.086.173.541.950;3.120.568.914.816.970;4.787.193.568.742.150
david43@richards.com;967 Andrew Spurs;;;;;;
Mathistown;" CO 28230""";Indigo;3.355.520.742.143.220;1.155.182.116.621.940;36.628.834.292.811.700;2.837.943.164.069.790;44.428.590.749.764.300
paulkemp@yahoo.com;PSC 9698, Box 5466;;;;;;
"APO AE 75496-3580""";LightSalmon;3.314.207.932.732.030;11.433.379.933.334.400;3.589.243.163.440.530;4.470.282.584.120.020;5.447.798.637.193.820;
fbryant@gmail.com;284 Jennifer Curve;;;;;;
Lake Hollyberg;" IN 05228""";GreenYellow;3.259.718.265.981.360;10.889.566.863.427.900;3.821.257.083.414.730;4.442.054.329.011.160;4.887.860.610.939.050
kimberlyfrederick@gmail.com;71299 Jessica Shoals;;;;;;
East Mark;" IA 48085-1070""";DeepSkyBlue;33.167.136.876.950.500;11.928.842.093.866.200;3.691.463.331.144.080;3.164.943.995.285.110;47.575.906.778.832.700
sharon82@saunders.info;873 Clay Flats Apt. 810;;;;;;
Lake Kyle;" GU 48782""";DarkGreen;31.514.737.857.801.900;12.595.671.305.072.500;39.600.376.465.861.300;37.517.345.520.890.500;4.898.124.879.964.610
fishermichael@ramos.com;565 Duarte Keys Suite 293;;;;;;
Traceytown;" IN 17797""";LimeGreen;3.459.402.114.954.150;10.947.258.584.185.100;3.588.399.438.701.210;31.597.544.439.509.200;4.628.976.361.529.080
ilawson@hotmail.com;19018 Christopher Neck Apt. 963;;;;;;
Mcintoshchester;" IA 66908-2456""";DarkGoldenRod;3.350.136.982.210.360;13.898.081.993.497.000;370.589.128.165.069;4.130.562.809.236.320;5.964.301.726.172.280
shafferdaniel@murphy-harris.info;USCGC Thomas;;;;;;
"FPO AP 43708-2468""";Turquoise;3.240.237.101.796.120;10.875.559.548.189.200;3.778.114.255.999.940;19.140.899.242.310.900;33.831.986.264.152.200;
stevenanderson@yahoo.com;5401 Holt Corner Apt. 195;;;;;;
Hannahstad;" NC 86693-3595""";LightGreen;3.465.548.567.957.980;1.033.807.269.503.850;3.615.725.594.420.060;4.396.651.901.097.080;5.335.149.352.552.400
richard16@boyer-pratt.com;4568 Jeffrey Lane Apt. 512;;;;;;
South Jason;" WV 78116-0966""";LightSteelBlue;31.809.300.316.679.100;11.634.668.217.942.400;36.182.539.282.355.200;5.113.319.474.870.620;5.367.718.993.628.410
hyoung@jones.info;73469 Baker Forest Apt. 550;;;;;;
Allenbury;" TX 63791""";Cornsilk;33.877.779.300.122.500;12.517.666.287.393.000;37.151.920.660.971.400;26.699.416.242.795.800;4.873.793.060.170.290
erik46@hotmail.com;20711 Martin Harbors Apt. 582;;;;;;
New Justinborough;" AK 40834-2664""";LemonChiffon;34.447.871.436.480.700;10.607.723.870.859.000;3.681.909.551.318.470;33.664.637.433.729.300;4.737.289.665.129.940
rojasmichael@wagner-thomas.com;7602 Scott Plaza Apt. 158;;;;;;
Lake Amberland;" VI 10516-3276""";DarkKhaki;31.956.300.560.523.300;12.828.893.395.018.700;36.951.616.684.246.800;4.571.213.023.779.050;5.471.259.317.471.980
lance88@briggs.com;16001 Wilkins Island Suite 852;;;;;;
Jonathanfort;" AL 88541-7817""";FireBrick;326.055.836.415.705;12.068.816.079.691.700;361.050.004.999.139;3.917.451.119.136.930;5.051.133.435.398.570
anthony09@hotmail.com;5118 Madden Views Apt. 738;;;;;;
North Barryport;" AS 28731-2270""";LightSeaGreen;3.249.144.660.312.280;12.530.357.373.542.800;3.787.521.910.003.020;2.476.139.050.596.410;4.490.703.194.428.040
audreyjohnson@rosales.com;USCGC Nicholson;;;;;;
"FPO AE 43987-0470""";SlateGray;33.616.018.552.595.400;13.516.284.296.962.800;3.677.312.349.371.800;4.125.584.363.255.390;6.110.000.251.040.710;
beth76@yahoo.com;4522 Paul Heights Suite 851;;;;;;
Adamsland;" RI 08981""";Crimson;3.347.160.052.695.170;11.662.263.431.208.200;3.605.024.078.202.610;39.972.553.776.226.600;5.158.288.148.548.270
larrywest@davis.com;21918 Gail Glens;;;;;;
Barbershire;" SD 45790-8387""";MidnightBlue;3.371.065.305.912.260;13.664.747.875.183.500;3.772.438.615.760.940;13.626.740.800.013.800;439.074.766.741.645
raylopez@hotmail.com;3600 Amber Plains Suite 002;;;;;;
North Jamesburgh;" VA 07917""";DarkGoldenRod;3.219.772.379.742.180;1.183.023.109.487.890;3.663.385.670.229.110;4.193.324.635.532.070;514.088.957.746.572
middletonrenee@gmail.com;71757 David Freeway Apt. 851;;;;;;
West Carriefurt;" NC 27106-3364""";DarkCyan;3.246.121.244.511.540;13.291.143.045.352.800;38.633.625.651.583.500;38.710.034.001.764.100;543.340.166.256.701
grichardson@ryan.info;79139 Boone Common;;;;;;
Stewartstad;" DE 63633-1812""";SteelBlue;33.790.387.206.952.100;11.942.340.869.536.000;3.806.341.358.683.890;408.180.269.478.151;5.211.429.518.103.510
esmith@gmail.com;USS Johnson;;;;;;
"FPO AE 35617-5384""";OldLace;3.418.382.052.058.910;13.349.912.944.366.500;37.827.394.227.862.100;4.252.006.105.620.930;6.147.153.338.263.410;
michael53@munoz.com;USNS Mitchell;;;;;;
"FPO AP 92946""";MediumBlue;32.288.666.909.138.900;12.020.112.091.208.700;39.074.400.211.336.900;3.911.708.668.370.660;50.739.006.178.986.600;
jacqueline46@mcdonald-smith.biz;3794 Michael Forest Apt. 750;;;;;;
New Stephenberg;" MD 61004-0181""";Gray;3.382.635.200.907.210;12.084.091.730.811.000;3.589.035.795.567.320;3.021.671.821.710.010;4.952.994.425.473.080
briannasantana@gmail.com;88978 Noble Crest;;;;;;
North Rosemouth;" FM 53484-6689""";LightPink;3.249.839.307.472.940;13.410.759.184.940.500;359.904.889.547.585;3.184.618.661.620.880;5.180.645.579.840.100
mark52@yahoo.com;82227 Farmer Throughway Suite 266;;;;;;
Leeborough;" WV 35324""";BlanchedAlmond;3.188.540.629.991.170;11.281.931.074.103.600;37.385.317.552.778.300;2.877.224.878.259.820;3.901.032.729.724.750
acampbell@sanchez-velasquez.info;5791 Jessica Cove;;;;;;
Mckinneyborough;" OK 64460-7536""";Wheat;32.425.697.279.750.800;11.448.901.535.513.700;3.758.019.042.917.730;25.869.679.851.624.700;4.207.376.732.446.370
qgarcia@williams.com;465 Kenneth Common Apt. 192;;;;;;
North Tracy;" WI 36024-8978""";Aqua;3.343.782.956.230.180;12.595.420.346.380.500;3.626.203.180.012.430;29.696.402.266.327.500;4.921.050.523.891.850
jenniferking@hess.net;06939 Jones Neck;;;;;;
Mariaview;" VT 87641""";BlueViolet;313.895.854.806.644;10.994.223.919.350.900;3.807.445.241.970.450;34.288.599.039.280.100;41.006.961.105.998.200
taylor91@hotmail.com;3132 Willie Harbor;;;;;;
Kaylafurt;" FL 01107""";CadetBlue;3.346.869.994.900.620;13.085.505.760.060.800;3.584.582.711.383.270;2.926.940.235.492.510;4.975.136.833.293.670
afry@ford.biz;399 Jeremy Skyway Suite 377;;;;;;
North Keithville;" IL 55074""";PaleTurquoise;32.291.756.100.263.000;12.190.474.287.309.000;3.615.246.208.860.060;37.818.230.393.432.900;49.455.186.108.657.200
amandadean@gmail.com;66880 Mckinney Hills;;;;;;
Matthewchester;" MH 88386""";DimGray;320.637.746.203.137;10.719.149.740.628.300;3.771.250.863.884.940;3.004.742.535.925.670;3.783.309.069.068.030
brenda68@hotmail.com;0377 Reed Via Apt. 169;;;;;;
Alexandershire;" MO 43498""";Moccasin;3.315.569.970.295.200;12.931.550.271.647.900;3.816.643.555.663.390;3.854.473.855.602.960;570.451.725.912.857
bakerdrew@gmail.com;39637 Griffin Plain Suite 691;;;;;;
New Deborahview;" MP 73870-3773""";Chartreuse;3.335.687.434.475.740;1.345.212.895.943.560;38.503.008.849.241.500;3.318.822.278.930.890;5.490.082.269.346.920
connorlambert@yahoo.com;931 Andrews Heights;;;;;;
South Shelley;" NV 21850""";Khaki;3.185.307.480.174.650;12.149.375.491.578.200;3.732.533.422.381.930;33.618.146.243.831.400;459.285.123.462.352
tknapp@yahoo.com;15810 Karl Plain;;;;;;
Davidville;" TX 64072""";MediumSpringGreen;3.201.230.076.824.540;12.178.331.333.996.200;3.771.598.617.762.170;3.722.561.172.893.830;49.294.505.306.595.800
garcialisa@yahoo.com;46079 Gonzalez Loaf;;;;;;
Williamside;" PA 72265""";LemonChiffon;32.388.451.625.505.300;11.010.482.132.400.000;38.415.041.581.538.300;35.435.470.501.829.900;4.247.626.355.099.110
josephallen@hotmail.com;3144 Jamie Rest;;;;;;
Maxwellville;" NC 93749-1190""";PeachPuff;3.265.318.145.878.370;1.160.253.219.348.610;373.096.887.708.795;2.789.461.516.374.700;42.242.677.587.650.900
hailey18@yahoo.com;08079 Thompson Village;;;;;;
North Lukeborough;" AL 16825""";Lime;3.293.133.644.189.650;12.732.211.588.456.600;3.560.082.054.911.080;54.859.767.341.605.200;6.421.015.787.311.580
whess@hotmail.com;29282 Alexander Street;;;;;;
South Andrewmouth;" MS 22041""";Tomato;33.235.606.500.693.800;11.223.368.888.365.100;3.769.230.086.128.230;25.941.897.205.777.700;4.133.717.831.104.520
josesims@hunter.com;8830 Debra Loaf Apt. 341;;;;;;
Drakeville;" ME 22340""";SlateBlue;3.392.579.489.547.870;1.201.102.187.657.450;36.701.052.315.547.900;2.753.424.168.758.110;47.923.109.291.159.300
dtaylor@webb.com;18219 Jackson Well;;;;;;
Fosterton;" MP 85302""";Orange;3.305.926.409.135.830;11.725.910.097.840.900;359.990.993.016.087;5.004.820.577.490.740;5.930.772.413.447.510
briangonzales@gmail.com;572 Michelle Motorway Apt. 889;;;;;;
New Craig;" ND 17250""";Fuchsia;32.401.731.827.354.600;12.089.309.572.437.300;38.309.907.895.123.100;3.873.337.568.743.250;5.065.473.070.543.510
jared99@yahoo.com;PSC 0811, Box 7054;;;;;;
"APO AA 91691""";GoldenRod;3.388.994.100.692.410;13.068.638.584.182.400;3.754.052.035.512.250;37.987.253.190.525.300;5.713.074.948.754.640;
qchristian@martinez-allen.com;26737 Brooks Roads;;;;;;
Vincentstad;" VA 93089""";GreenYellow;3.456.938.121.869.340;1.285.499.036.656.400;3.500.748.225.744.690;3.292.797.662.575.640;576.311.177.371.677
ngarcia@donaldson.info;662 Wells Stravenue Apt. 578;;;;;;
